price18,date
64740,2025-06-11T00:00:05
64740,2025-06-11T00:01:02
64740,2025-06-11T00:02:02
64750,2025-06-11T00:03:02
64750,2025-06-11T00:04:02
64750,2025-06-11T00:05:03
64740,2025-06-11T00:06:02
64740,2025-06-11T00:07:01
64740,2025-06-11T00:08:03
64730,2025-06-11T00:08:32
64730,2025-06-11T00:10:02
64730,2025-06-11T00:11:02
64730,2025-06-11T00:12:02
64730,2025-06-11T00:13:02
64730,2025-06-11T00:14:02
64730,2025-06-11T00:15:02
64730,2025-06-11T00:16:02
64730,2025-06-11T00:17:02
64730,2025-06-11T00:17:32
64730,2025-06-11T00:19:02
64730,2025-06-11T00:20:01
64730,2025-06-11T00:21:01
64740,2025-06-11T00:22:01
64740,2025-06-11T00:23:02
64740,2025-06-11T00:24:02
64740,2025-06-11T00:25:02
64740,2025-06-11T00:26:02
64740,2025-06-11T00:26:32
64740,2025-06-11T00:28:03
64740,2025-06-11T00:29:02
64740,2025-06-11T00:30:03
64740,2025-06-11T00:31:02
64740,2025-06-11T00:32:03
64740,2025-06-11T00:33:02
64740,2025-06-11T00:34:02
64740,2025-06-11T00:35:03
64740,2025-06-11T00:36:02
64730,2025-06-11T00:37:03
64730,2025-06-11T00:38:03
64730,2025-06-11T00:39:02
64740,2025-06-11T00:40:02
64730,2025-06-11T00:41:02
64730,2025-06-11T00:42:04
64730,2025-06-11T00:43:02
64730,2025-06-11T00:44:02
64740,2025-06-11T00:45:02
64740,2025-06-11T00:46:02
64740,2025-06-11T00:47:02
64740,2025-06-11T00:48:03
64750,2025-06-11T00:49:02
64740,2025-06-11T00:49:31
64750,2025-06-11T00:51:02
64740,2025-06-11T00:52:02
64740,2025-06-11T00:53:02
64740,2025-06-11T00:54:02
64740,2025-06-11T00:55:03
64740,2025-06-11T00:56:02
64740,2025-06-11T00:57:02
64740,2025-06-11T00:58:02
64740,2025-06-11T00:59:02
64740,2025-06-11T01:00:02
64740,2025-06-11T01:01:02
64740,2025-06-11T01:02:03
64740,2025-06-11T01:02:32
64740,2025-06-11T01:04:02
64730,2025-06-11T01:05:01
64730,2025-06-11T01:06:02
64730,2025-06-11T01:07:02
64730,2025-06-11T01:08:03
64730,2025-06-11T01:09:01
64730,2025-06-11T01:10:01
64730,2025-06-11T01:10:01
64730,2025-06-11T01:11:02
64730,2025-06-11T01:12:02
64730,2025-06-11T01:13:02
64730,2025-06-11T01:14:02
64730,2025-06-11T01:15:02
64730,2025-06-11T01:16:02
64730,2025-06-11T01:17:02
64730,2025-06-11T01:18:03
64720,2025-06-11T01:19:01
64720,2025-06-11T01:20:02
64720,2025-06-11T01:21:02
64720,2025-06-11T01:22:02
64720,2025-06-11T01:23:02
64720,2025-06-11T01:24:02
64720,2025-06-11T01:25:02
64720,2025-06-11T01:26:02
64720,2025-06-11T01:27:02
64720,2025-06-11T01:28:03
64720,2025-06-11T01:29:02
64720,2025-06-11T01:30:02
64720,2025-06-11T01:31:02
64720,2025-06-11T01:32:02
64720,2025-06-11T01:33:02
64720,2025-06-11T01:34:01
64720,2025-06-11T01:35:02
64720,2025-06-11T01:36:02
64720,2025-06-11T01:37:01
64720,2025-06-11T01:38:04
64720,2025-06-11T01:39:02
64720,2025-06-11T01:40:03
64720,2025-06-11T01:41:02
64710,2025-06-11T01:42:02
64710,2025-06-11T01:43:01
64710,2025-06-11T01:44:02
64710,2025-06-11T01:45:02
64710,2025-06-11T01:46:02
64710,2025-06-11T01:47:02
64710,2025-06-11T01:48:03
64710,2025-06-11T01:49:02
64710,2025-06-11T01:50:01
64710,2025-06-11T01:51:02
64710,2025-06-11T01:52:02
64710,2025-06-11T01:53:02
64720,2025-06-11T01:54:02
64720,2025-06-11T01:55:02
64720,2025-06-11T01:56:02
64720,2025-06-11T01:57:02
64720,2025-06-11T01:58:03
64720,2025-06-11T01:59:02
64720,2025-06-11T02:00:01
64720,2025-06-11T02:01:02
64710,2025-06-11T02:02:02
64710,2025-06-11T02:03:02
64720,2025-06-11T02:04:02
64720,2025-06-11T02:05:05
64720,2025-06-11T02:06:02
64720,2025-06-11T02:07:02
64720,2025-06-11T02:08:03
64720,2025-06-11T02:09:05
64720,2025-06-11T02:10:02
64720,2025-06-11T02:11:02
64720,2025-06-11T02:12:02
64720,2025-06-11T02:13:01
64720,2025-06-11T02:14:02
64720,2025-06-11T02:15:02
64720,2025-06-11T02:16:02
64720,2025-06-11T02:17:02
64710,2025-06-11T02:18:02
64710,2025-06-11T02:19:02
64710,2025-06-11T02:20:02
64710,2025-06-11T02:21:02
64710,2025-06-11T02:22:01
64710,2025-06-11T02:23:02
64710,2025-06-11T02:24:02
64710,2025-06-11T02:25:02
64710,2025-06-11T02:26:02
64710,2025-06-11T02:27:02
64710,2025-06-11T02:28:04
64710,2025-06-11T02:29:02
64710,2025-06-11T02:30:02
64710,2025-06-11T02:31:02
64710,2025-06-11T02:32:02
64710,2025-06-11T02:33:04
64710,2025-06-11T02:34:02
64710,2025-06-11T02:35:03
64710,2025-06-11T02:36:02
64710,2025-06-11T02:37:01
64710,2025-06-11T02:38:05
64710,2025-06-11T02:39:02
64710,2025-06-11T02:40:02
64710,2025-06-11T02:41:02
64710,2025-06-11T02:42:05
64710,2025-06-11T02:43:01
64710,2025-06-11T02:44:01
64710,2025-06-11T02:45:05
64710,2025-06-11T02:46:05
64710,2025-06-11T02:47:05
64700,2025-06-11T02:48:03
64700,2025-06-11T02:49:01
64700,2025-06-11T02:50:02
64690,2025-06-11T02:51:02
64690,2025-06-11T02:52:02
64680,2025-06-11T02:53:02
64680,2025-06-11T02:54:02
64690,2025-06-11T02:55:02
64690,2025-06-11T02:56:02
64690,2025-06-11T02:57:02
64690,2025-06-11T02:58:03
64690,2025-06-11T02:59:02
64690,2025-06-11T03:00:03
64690,2025-06-11T03:01:02
64690,2025-06-11T03:02:02
64690,2025-06-11T03:03:05
64690,2025-06-11T03:04:05
64690,2025-06-11T03:05:05
64690,2025-06-11T03:06:05
64690,2025-06-11T03:07:05
64690,2025-06-11T03:08:02
64690,2025-06-11T03:09:02
64700,2025-06-11T03:10:02
64700,2025-06-11T03:11:02
64710,2025-06-11T03:12:03
64710,2025-06-11T03:13:02
64720,2025-06-11T03:14:02
64720,2025-06-11T03:15:02
64710,2025-06-11T03:16:02
64710,2025-06-11T03:17:03
64710,2025-06-11T03:18:04
64710,2025-06-11T03:19:02
64720,2025-06-11T03:20:02
64720,2025-06-11T03:21:02
64720,2025-06-11T03:22:02
64720,2025-06-11T03:23:02
64720,2025-06-11T03:24:02
64720,2025-06-11T03:25:01
64720,2025-06-11T03:26:02
64720,2025-06-11T03:27:02
64720,2025-06-11T03:28:03
64720,2025-06-11T03:29:02
64730,2025-06-11T03:30:04
64730,2025-06-11T03:31:02
64730,2025-06-11T03:32:02
64730,2025-06-11T03:33:02
64730,2025-06-11T03:34:02
64720,2025-06-11T03:35:02
64720,2025-06-11T03:36:02
64720,2025-06-11T03:37:02
64720,2025-06-11T03:38:03
64720,2025-06-11T03:39:02
64720,2025-06-11T03:40:02
64720,2025-06-11T03:41:02
64720,2025-06-11T03:42:04
64720,2025-06-11T03:43:02
64720,2025-06-11T03:44:02
64720,2025-06-11T03:45:04
64720,2025-06-11T03:46:02
64720,2025-06-11T03:47:02
64720,2025-06-11T03:48:04
64720,2025-06-11T03:49:02
64720,2025-06-11T03:50:02
64730,2025-06-11T03:51:03
64730,2025-06-11T03:52:02
64730,2025-06-11T03:53:02
64730,2025-06-11T03:54:02
64730,2025-06-11T03:55:02
64730,2025-06-11T03:56:02
64730,2025-06-11T03:57:03
64720,2025-06-11T03:58:03
64720,2025-06-11T03:59:02
64720,2025-06-11T04:00:02
64730,2025-06-11T04:01:02
64730,2025-06-11T04:02:02
64730,2025-06-11T04:03:02
64730,2025-06-11T04:04:02
64730,2025-06-11T04:05:02
64730,2025-06-11T04:06:02
64730,2025-06-11T04:07:02
64730,2025-06-11T04:08:04
64730,2025-06-11T04:09:02
64730,2025-06-11T04:10:02
64730,2025-06-11T04:11:02
64740,2025-06-11T04:12:02
64740,2025-06-11T04:13:01
64740,2025-06-11T04:14:02
64750,2025-06-11T04:15:02
64740,2025-06-11T04:16:02
64740,2025-06-11T04:17:02
64740,2025-06-11T04:18:03
64740,2025-06-11T04:19:03
64740,2025-06-11T04:20:02
64740,2025-06-11T04:21:02
64740,2025-06-11T04:22:03
64740,2025-06-11T04:23:02
64730,2025-06-11T04:24:02
64730,2025-06-11T04:25:02
64730,2025-06-11T04:26:02
64730,2025-06-11T04:27:02
64730,2025-06-11T04:28:04
64730,2025-06-11T04:29:02
64730,2025-06-11T04:30:01
64730,2025-06-11T04:31:02
64730,2025-06-11T04:32:01
64730,2025-06-11T04:33:02
64730,2025-06-11T04:34:02
64730,2025-06-11T04:35:02
64740,2025-06-11T04:36:02
64740,2025-06-11T04:37:02
64740,2025-06-11T04:38:04
64740,2025-06-11T04:39:02
64730,2025-06-11T04:40:02
64740,2025-06-11T04:41:02
64750,2025-06-11T04:42:02
64750,2025-06-11T04:43:02
64750,2025-06-11T04:44:02
64760,2025-06-11T04:45:02
64760,2025-06-11T04:46:05
64750,2025-06-11T04:47:02
64760,2025-06-11T04:48:03
64750,2025-06-11T04:49:02
64760,2025-06-11T04:50:01
64760,2025-06-11T04:51:02
64760,2025-06-11T04:52:03
64750,2025-06-11T04:53:02
64760,2025-06-11T04:54:02
64760,2025-06-11T04:55:02
